utc_event_date,revenue_main
19/01/23,28069198.673699997
20/01/23,28912902.707327005
21/01/23,27773802.641603995
22/01/23,28373113.788959995
23/01/23,26230836.597241998
24/01/23,26148254.910152003
25/01/23,26780741.390142
26/01/23,28064680.366991006
27/01/23,29902817.759752005
28/01/23,27626924.927063994
29/01/23,29131515.231812
30/01/23,28572412.314456005
31/01/23,27411810.130980004
01/02/23,27365808.987468
02/02/23,26130297.989459
03/02/23,30696316.875723995
04/02/23,28666431.710079994
05/02/23,28844256.474834003
06/02/23,26771603.363496162
07/02/23,27278443.562119998
08/02/23,27523403.74452
09/02/23,29068925.109428003
10/02/23,29379752.44146001
11/02/23,26907713.813788
12/02/23,30938102.83556201
13/02/23,29297439.486385003
14/02/23,28125927.46217501
15/02/23,34757193.87248301
16/02/23,31077142.188401
17/02/23,30836245.138779
18/02/23,29689266.379915003
19/02/23,31546695.099065
20/02/23,28294649.432257004
21/02/23,27551243.579896003
22/02/23,28510834.437817
23/02/23,27237345.122714996
24/02/23,29369942.252714995
25/02/23,27089775.863535
26/02/23,30194978.702594995
27/02/23,31548278.194240008
28/02/23,33661021.237178
01/03/23,35754205.10407
02/03/23,34715256.887993
03/03/23,34468441.688216
04/03/23,33972882.17945999
05/03/23,34224933.00013
06/03/23,28671960.971330002
07/03/23,25713619.389258996
08/03/23,28926359.83340601
09/03/23,30046490.034988
10/03/23,30123209.847159
11/03/23,35376180.968417004
12/03/23,39340312.807381995
13/03/23,33784341.448201
14/03/23,33172087.835959002
15/03/23,33588546.57966999
16/03/23,36835187.365367
17/03/23,30511354.258881006
18/03/23,33681368.1664
19/03/23,32446312.439690005
20/03/23,33830387.24155
21/03/23,32693419.013235997
22/03/23,31850095.000757996
23/03/23,31414666.00637
24/03/23,32111429.385240003
25/03/23,31583586.32797801
26/03/23,33358904.974359
27/03/23,31638891.384460006
28/03/23,30663921.153434
29/03/23,32358679.741764992
30/03/23,28639673.630359996
31/03/23,27205283.746869996
01/04/23,28279221.993309997
02/04/23,28809770.344078
03/04/23,28786606.124424
04/04/23,28406558.820516
05/04/23,28209121.106583003
06/04/23,26827553.051264003
07/04/23,26801204.841449
08/04/23,24002055.601763
09/04/23,28494395.835006002
10/04/23,27418283.618362
11/04/23,29588859.208373
12/04/23,28827951.411356002
13/04/23,27017581.44344701
14/04/23,27729046.828793
15/04/23,24816211.358476005
16/04/23,26472271.710381
17/04/23,28376911.618943
18/04/23,26944581.13798
19/04/23,27589418.39920301
20/04/23,27915445.176661003
21/04/23,25449509.043013997
22/04/23,20848993.50972
23/04/23,23160284.334814005
24/04/23,27483033.319511
25/04/23,27235695.9413
26/04/23,24739997.853028003
27/04/23,23129652.103431
28/04/23,17015773.03644
29/04/23,13705855.236692999
30/04/23,13270444.0876
01/05/23,12516001.096863
02/05/23,13775494.953878997
03/05/23,12199594.604666002
04/05/23,11299872.702188
05/05/23,15049696.040591998
06/05/23,20031065.713288
07/05/23,20817221.684878003
08/05/23,20487881.382078
09/05/23,19885620.430123996
10/05/23,20920254.228251997
11/05/23,21247235.307654
12/05/23,19962093.29994
13/05/23,18033835.332998
14/05/23,19773599.883034002
15/05/23,20121858.211598
16/05/23,19918707.472774
17/05/23,21044666.631551996
18/05/23,20388662.854485005
19/05/23,19656572.913848
20/05/23,16940397.170255
21/05/23,19211242.271798
22/05/23,17917039.859778
23/05/23,21630557.486227006
24/05/23,20093675.311727002
25/05/23,19683290.100412
26/05/23,20125222.523381
27/05/23,16679430.201779999
28/05/23,20642897.720135998
29/05/23,20488832.624801997
30/05/23,20669228.944980003
31/05/23,19983666.779616002
01/06/23,28205585.023202
02/06/23,19053417.425415
03/06/23,18959895.152768
04/06/23,19884782.429488
05/06/23,22822255.872281995
06/06/23,23005807.304380998
07/06/23,22663964.667741995
08/06/23,22060425.973482
09/06/23,23408246.927712
10/06/23,19033952.42902
11/06/23,19296045.133319996
12/06/23,20143576.424213998
13/06/23,20483666.913158003
14/06/23,19057154.173523
15/06/23,21718843.666146003
16/06/23,17985282.477888
17/06/23,15065259.884582
18/06/23,19072956.473595
19/06/23,19265367.202919003
20/06/23,19077830.916144
21/06/23,17593523.540087998
22/06/23,17593001.702256
23/06/23,11962622.862548001
24/06/23,15475135.173418002
25/06/23,17114813.162287
26/06/23,19825178.207875
27/06/23,18562166.586218003
28/06/23,19685927.844391
29/06/23,17712706.1225
30/06/23,17755887.249434005
01/07/23,15645395.147175003
02/07/23,17077270.983275
03/07/23,23031659.110099997
04/07/23,18776928.144103996
05/07/23,18224810.855580002
06/07/23,17048332.613335
07/07/23,17236298.354019996
08/07/23,15431656.858070001
09/07/23,16338185.688534003
10/07/23,20021490.141448002
11/07/23,20785603.702911
12/07/23,20433396.617549997
13/07/23,20088022.025670003
14/07/23,18745343.493765
15/07/23,17369420.967708003
16/07/23,60991932.859214
17/07/23,20526039.309866
18/07/23,20919179.713174
19/07/23,20438196.235631
20/07/23,21187348.646346003
21/07/23,19144266.445748
22/07/23,15749838.994962998
23/07/23,17432780.659991004
24/07/23,19800159.637974996
25/07/23,21136940.558222
26/07/23,20467289.93638
27/07/23,18786580.927457
28/07/23,18226181.249926
29/07/23,18110943.533722
30/07/23,18411276.559026
31/07/23,20093619.293654002
01/08/23,20670115.935363002
02/08/23,19716156.565114
03/08/23,106308522.51242499
04/08/23,18889091.946888
05/08/23,15113951.536099998
06/08/23,16983315.186598
07/08/23,18672598.407614004
08/08/23,22243024.110899005
09/08/23,20953808.807571996
10/08/23,23557374.181017995
11/08/23,21833899.543539997
12/08/23,17881109.563276
13/08/23,20047054.732072
14/08/23,22213936.00834301
15/08/23,23879623.619007997
16/08/23,21098387.639944002
17/08/23,23375025.721440002
18/08/23,22943106.694470003
19/08/23,18576443.734534997
20/08/23,21483958.206805002
21/08/23,23519849.928633004
22/08/23,22212849.941508003
23/08/23,22801465.104496002
24/08/23,22261976.869002
25/08/23,20497897.72049
26/08/23,17540310.758455
27/08/23,18440984.302924
28/08/23,21213989.05624
29/08/23,21130287.837481994
30/08/23,21182355.101722
31/08/23,19804164.103240002
01/09/23,18847180.981201
02/09/23,19235443.362342004
03/09/23,20466232.481292
04/09/23,22918943.691788003
05/09/23,25485736.734249998
06/09/23,24167847.96686
07/09/23,24876286.941328
08/09/23,23151784.584712
09/09/23,21601364.485964004
10/09/23,22040972.42159
11/09/23,22227846.841337994
12/09/23,24821406.295026995
13/09/23,25706551.725836
14/09/23,26624509.638062
15/09/23,24214935.403168
16/09/23,21811129.777562004
17/09/23,22447305.325563002
18/09/23,21348091.180271
19/09/23,22713842.718554
20/09/23,22489090.876897
21/09/23,23467920.911646005
22/09/23,23471062.086197995
23/09/23,20814898.393248
24/09/23,22445876.491706
25/09/23,22290994.556127995
26/09/23,22947152.298
27/09/23,25271739.242485996
28/09/23,24921213.868264005
29/09/23,22727709.958881997
30/09/23,21517315.020308003
01/10/23,22714570.808594
02/10/23,22915880.201198
03/10/23,23814553.769838005
04/10/23,26730884.366754
05/10/23,26562771.469345998
06/10/23,25118776.107297998
07/10/23,24113923.510360003
08/10/23,28412472.162407998
09/10/23,27472314.644972
10/10/23,30440710.651768
11/10/23,28779517.262289997
12/10/23,27355743.993699998
13/10/23,27729940.591258
14/10/23,26036586.74093
15/10/23,26831320.38872
16/10/23,26714429.33515
17/10/23,28575753.964435
18/10/23,27134084.254342005
19/10/23,28486135.804742996
20/10/23,41162745.380107
21/10/23,40845237.501768
22/10/23,45570503.986774005
23/10/23,42688094.86638
24/10/23,46141098.770720005
25/10/23,45071209.79172
26/10/23,48730337.39215499
27/10/23,43700064.525929995
28/10/23,43925421.379538
29/10/23,44978965.928282
30/10/23,54253531.78622999
31/10/23,53224643.411578
01/11/23,57622539.176134996
02/11/23,53472129.951000005
03/11/23,40666354.638523996
04/11/23,36085581.151159994
05/11/23,31688424.21247
06/11/23,31319414.242369995
07/11/23,29682266.157799996
08/11/23,35478826.972906
09/11/23,36124467.13579
10/11/23,42495675.27861401
11/11/23,50368010.895259
12/11/23,41211804.645281
13/11/23,37504449.340215996
14/11/23,41272232.751435004
15/11/23,38782305.896408
16/11/23,35849480.99242
17/11/23,33071887.357414998
18/11/23,31605622.807988003
19/11/23,55087948.26016699
20/11/23,58215757.675594
21/11/23,64229249.432416
22/11/23,58520106.258908994
23/11/23,58177958.037663005
24/11/23,49540054.66753899
25/11/23,35032707.769124
26/11/23,36996030.915309995
27/11/23,38028363.774897
28/11/23,36282814.16108601
29/11/23,50188432.40647899
30/11/23,53561300.94069499
01/12/23,49269208.86633399
02/12/23,49335560.737770006
03/12/23,52716359.66905001
04/12/23,52376445.42786999
05/12/23,54596099.209195994
06/12/23,54582539.18816999
07/12/23,56298779.94704801
08/12/23,56746994.882038005
09/12/23,54069871.174352996
10/12/23,57043956.340737
11/12/23,53300217.357590005
12/12/23,54674619.390748
13/12/23,57940592.83286501
14/12/23,56239340.05905801
15/12/23,55960536.51778399
16/12/23,53842764.953070015
17/12/23,57249826.858101994
18/12/23,54900250.540152
19/12/23,56432624.054144
20/12/23,57584411.003069
21/12/23,54268333.665635005
22/12/23,50932302.67686
23/12/23,50231548.728675
24/12/23,53113125.53359699
25/12/23,49822739.496107005
26/12/23,45022305.11681999
27/12/23,42229671.87365767
28/12/23,36050729.552359
29/12/23,27760069.10541
30/12/23,19924163.69074002
31/12/23,12836847.923378
01/01/24,25771023.900756
02/01/24,32916615.368262
03/01/24,34468221.378901996
04/01/24,37918460.446908005
05/01/24,33321931.657628004
06/01/24,31025634.349358007
07/01/24,36531485.943132
08/01/24,41186697.762782
09/01/24,40523026.763802
10/01/24,40559668.071842
11/01/24,40013049.967792004
12/01/24,41205778.631656006
13/01/24,37120087.53920401
